ID,Ojibwe Word,Word Class,English Translation
408,aniibiishibag,ni,leaf; pi aniibiishibagoon; be aniibiishibagong dim aniibiishibagoons; also aniibiish
410,aniibiishike,vai,make tea; Isg indaniibiishike; pn eniibiishiked
412,anokaadan,vii,work ait s.t.; Isg indanokaadaan; pn enokaadang
413,anokaajigan,ni,"manufacture, craft, something worked on, project; pi anokaajiganan; loc anokaajiganing; dim anokaajigaans anokaazh /anokaaN-/ vta work at s.o.; Isg indanokaanaa; pn enokaanaad"
418,anokiitaazo,vai,work for oneself; Isg indanokiitaaz; pn enokiitaazod
423,anooj,pc,"various, all kinds anooj gegoo pr a variety of things, various things; also anooji-gegoo"
425,anwaataa,vai,finish (in work or an activity); Isg indanwaataa; pn enwaataad
428,anweshin,vai,rest lying down; Isg indanweshin; pn enweshing
432,apabiwin,m,chair; pi apabiwinan; loc apabiwining; dim apabiwinens
433,apagajinaazhikamaw,vta,drive game for s.o.; Isg indapagajinaazhikamawaa; pn epagajinaazhikamawaad
434,apagajinaazhikaw,vta,drive s.o. as game; Isg indapagajinaazhikawaa; pn epagajinaazhikawaad
435,apagajinaazhikaage,vai,drive game; Isg indapagajinaazhikaage; pn epagajinaazhikaaged
436,apagidan,vti,throw s.t.; Isg indapagidaan; pn epagidang; also apagidoon
438,apagidoon,vti2,throw s.t.; Isg indapagidoon; pn epagidood; also apagidan
439,apagijige,vai,throw things; Isg indapagijige; pn epagijiged
442,apa'igo,vai,ride to a certain place with horses; hg indapa'ig; prt epa'igod
443,apa'iwe,vai,run away from people to a certain place; Isg indapa'iwe; pn epa'iwed
444,apakwaan,m,roofing; pi apakwaanan; loc apakwaaning; dim apakwaanens
446,apakweshkway,na,"cattail mat, cattail; pi apakweshkwayag"
447,apane,pc,"always, all the time, continually"
448,apangishin,vai,fall down against; Isg indapangishin; pn epangishing
449,apangisin,vii,fall down against; pn epangising
455,apegish,pc,"I wish that...; also ambegish*, ambesh*"
456,apenimonodan,vti,depend on s.t.; Isg indapenimonodaan; pn epenimonodang
457,apenimonodaw,vta,depend on s.o.; Isg indapenimonodawaa; prt epenimonodawaad; also apenimodaw
458,apibii'igan,ni,"desk, writing surface; pi apibii'iganan; loc apibii'iganing; dim apibii'igaans"
459,apibii'ige,vai,write on something; Isg indapibii'ige; pn epibii'iged
460,apiganegwaajigan,ni,moccasin cuff; pi apiganegwaajiganan; loc apiganegwaajiganing; dim apiganegwaajigaans; also apigwanegwaason
461,apigwayawegwaajigan,ni,collar; pi apigwayawegwaajiganan; loc apigwayawegwaajiganing; dim apigwayawegwaajigaans
463,apikaans,ni,fan belt; pi apikaansan
466,apishimo,vai,lie on something; Isg indapishim; pn epishimod
468,apishimonike,vai,make a bed (as in camp); Isg indapishimonike; pn epishimoniked
471,apisidaagan,na,floor piece of canoe; pi apisidaaganag; loc apisidaaganing; dim apisidaagaans
472,apisidoon,vti2,lay something on or under s.t. for protection; Isg indapisidoon; pn episidood
476,apizideyaakwa'igan,ni,cradle board footrest; pi apizideyaakwa'iganan
477,apii,pc,"when, then, at the time"
482,apiichigi,vai,"grow up a certain extent, grow at a certain speed; pn epiichigid"
483,apiichigidaazo,vai,be angry to a certain extent; Isg indapiichigidaaz; pn epiichigidaazod
485,apiichi-giizhigad,vii,be so late in the day; pn epiichi-giizhigak
486,apiichishin,vai,lie to a certain depth; pn epiichishing
489,apiingwe'igan,ni,moccasin vamp; pi apiingwe'iganan; loc apiingwe'iganing; dim apiingwe'igaans
491,apiitagindan,vti,set a price of a certain height on s.t.; Isg indapiitagindaan; pn epiitagindang
492,apiitaginde,vii,have a price of a certain height; pn eptitagindeg; aug apiitagindemagad; pn aug epiitagindemagak
493,apiitaginzo,vai,have a price of a certain height; pn epiitaginzod
500,apiitenimo,vai,be proud of oneself; Isg indapiitenim; prt epiitenimod
504,apiizikaa,vai,"go a certain speed, go as fast as possible; Isg indapiizikaa; prt epiizikaad"
507,asabaabiiwaatig,ni,spool (for thread); pi asabaabiiwaatigoon; loc asabaabiiwaatigong; dim asabaabiiwaatigoons
513,asaawe,na,perch; pi asaaweg; dim asaawens
514,asekaan,na,"tanned hide; pi asekaanag; loc asekaaning; dim asekaanens asekaazh /asekaaN-/ vta tan s.o. (e.g., a hide); Isg indasekaanaa; prt esekaanaad"
516,asekewin,ni,tanning
518,asemaawipwaagaans,na,cigarette; pi asemaawipwaagaansag; also asemaa- opwaagaans
525,ashaweshk,ni,sword; pi ashaweshkoon; loc ashaweshkong; dim ashaweshkoons
527,ashi-bezhigo-diba'iganed,vii,be eleven o'clock; pn eshi-bezhigo-diba'iganek
531,ashi-niizho-diba'iganed,vii,"be twelve o'clock; pn eshi-niizho-diba'iganek ashi-niizhwaaso- pv4 and seven ashi-niizhwaaswi nm and seven, seventeen"
532,ashiwaa,vii,"be dull; pn eshiwaag; aug ashiwaamagad; pn aug eshiwaamagak ashi-zhaangaso-/w4 and nine ashi-zhaangaswi nm and nine, nineteen ashki- pv4 raw"
