ID,Ojibwe Word,Word Class,English Translation
1457,bisha'igobii,vai,peel wigob (inner bark of basswood); hg imbisha'igobii; pn besha'igobiid
1462,bisigadanaaboo,ni,dumpling soup; loc bisigadanaaboong
1464,biskanesidoon,vti2,light s.t. by striking; Isg imbiskanesidoon; pn beskanesidood
1466,biskaabii,vai,make a round trip in one day; Isg imbiskaabii; prt beskaabiid
1467,biskaakonebijigan,m,"switch; pi biskaakonebijiganan; loc biskaakonebijiganing; dim biskaakonebijigaans biskibidoon va2 bend s.t. over with hands, fold s.t. with hands; Isg imbiskibidoon; prt beskibidood biskibizh /biskibiN-/ vta bend s.o. over with hands, fold s.o. with hands; Isg imbiskibinaa; pn beskibinaad"
1479,bitaakosin,vii,"bump something, hit against something accidentally (as something stick- or wood-like); pn betaakosing bitizh /bitizhw-/ vta cut s.o. accidentally; Isg imbitizhwaa; pn betizhwaad"
1481,bizaan,pc,"quiet, still"
1483,bizaanaakwadabi,vai,sit still; Isg imbizaanaakwadab; pn bezaanaakwadabid
1488,bizhiki-wiiyaas,m,beef; also bizhikiwi-wiiyaas
1490,bizhikiinsiwayaan,na,calfhide; pi bizhikiinsiwayaanag
1505,biibaagindan,vti,"call out to s.t., shout at s.t.; Isg imbiibaagindaan; pn baabaagindang"
1507,biichibabagiwayaane,vai,put on one's shirt; Isg imbiichibabagiwayaane; pn baachibabagiwayaaned
1508,biichibabiinzikawaagane,vai,put on one's coat; Isg imbiichibabiinzikawaagane; prt baachibabiinzikawaaganed
1509,biichigiboodiyegwaazone,vai,put on one's pants; Isg imbiichigiboodiyegwaazone; pn baachigiboodiyegwaazoned
1511,biichiwakwaane,vai,put on one's hat; Isg imbiichiwakwaane; pn baachiwakwaaned
1512,biida'adoo,vai,follow a trail here; Isg imbiida'adoo; pn baada'adood
1513,biida'adoon,vti2,follow s.t. as a trail here; Isg imbiida'adoon; pn baada'adood biida'azh /biida'aN-/ vta follow s.o.'s trail here; Isg imbiida'anaa; pn baada'anaad
1514,biida'oodoon,vti2,bring here in a boat; Isg imbiida'oodoon; pn baada'oodood biida'oozh /biida'ooN-/ vta bring s.o. here in a boat; Isg imbiida'oonaa; pn baada'oonaad
1518,biidaadagaa,vai,swim here; Isg imbiidaadagaa; prt baadaadagaad
1520,biidaada'e,vai,skate here; Isg imbiidaada'e; pn baadaada'ed
1524,biidaanimizi,vai,come in fear; Isg imbiidaanimiz; pn baadaanimizid
1533,biidaazakwanenjige,vai,come with a light; Isg imbiidaazakwanenjige; prt baadaazakwanenjiged
1539,biidoon,vti2,bring s.t.; l.sg imbiidoon; prt baadood
1545,biidweweyaadagaa,vai,"be heard swimming here; Isg imbiidweweyaadagaa; pn baadweweyaadagaad biidwewidam vai2 come making noise (e.g., thunder), come speaking; Isg imbiidwewidam; pn baadwewidang"
1547,biigobidoon,vti2,"tear s.t., rip s.t.; Isg imbiigobidoon; pn baagobidood"
1551,biigodaabaane,vai,have a broken-down car; hg imbiigodaabaane; pn baagodaabaaned
1553,biigojiishkaa,vai,burst open; pn baagojiishkaad
1561,biigosidoon,vti2,"break s.t. by dropping, smash s.t.; Isg imbiigosidoon; pn baagosidood"
1564,biigwa'an,vti,break s.t. using something; Isg imbiigwa'aan; prt baagwa'ang
1565,biigwakamigibidoon,vti2,"break s.t. up (as ground), plow s.t.; Isg imbiigwakamigibidoon; prt baagwakamigibidood"
1566,biigwakamigibijigan,na,plow; pi biigwakamigibijiganag; loc biigwakamigibijiganing; dim biigwakamigibijigaans
1567,biigwakamigibijige,vai,plow; Isg imbiigwakamigibijige; prt baagwakamigibijiged
1571,bii'o,vai,wait; hg imbii'; pn baa'od biijiba'idiwag /biijiba'idi-/ vai they run here together; Ipl imbiijiba'idimin; pn baajiba'idijig
1576,biijibii'ige,vai,"write here, send a letter here; prt baajibii'iged"
1580,biijidaabii'iwe,vai,drive here; hg imbiijidaabii'iwe; pn baajidaabii'iwed
1593,biijise,vii,fly here; pn baajiseg; aug biijisemagad; pn aug baajisemagak
1596,biimashkwemaginigan,ni,bark torch; pi biimashkwemaginiganan; loc biimashkwemaginiganing; dim biimashkwemaginigaans
1597,biimaakwad,ni,vine; pi biimaakwadoon; loc biimaakwadong; dim biimaakwadoons
1598,biimidoon,vai,have a twisted mouth (as from a stroke); Isg imbiimidoon; prt baamidoong
1603,biimiskodisii,na,snail; pi biimiskodisiig
1604,biimiskon,vta,"turn s.o., twist s.o.; hg imbiimiskonaa; pn baamiskonaad"
1605,biimiskonan,vti,"turn s.t., twist s.t.; hg imbiimiskonaan; pn baamiskonang biimiskonigan in screw; pi biimiskoniganan; dim biimiskonigaans"
1606,biimiskonikeshin,vai,fall and twist one's arm; hg imbiimiskonikeshin; pn baamiskonikeshing
1607,biimiskwa'an,vti,screw s.t.; hg imbiimiskwa'aan; pn baamiskwa'ang
1608,biimiskwa'igan,ni,"screwdriver, wrench; pi biimiskwa'iganan; loc biimiskwa'iganing; dim biimiskwa'igaans"
1609,biimiskwa'igaans,ni,screw; pi biimiskwa'igaansan; loc biimiskwa'igaansing
1611,biina'igaade,vii,be put in; pn baana'igaadeg; aug biina'igaademagad; pn aug baana'igaademagak
1612,biina'igaazo,vai,be put in; prt baana'igaazod biinaagamin /biinaagami-/ vii be clean (as a liquid); pn baanaagamig biinda'am vai2 be caught in a net; hg imbiinda'am; pn baanda'ang
1614,biindaabikibijigan,ni,gearshift; pi biindaabikibijiganan
1615,biindaabikibijige,vai,"shift gears; Isg imbiindaabikibijige; pn baandaabikibijiged biindaablkibizh /biindaabikibiN-/ vta shift s.o. (e.g., a car); /st'imbiindaabikibinaa; /OT baandaabikibinaad"
1618,biindaakwe,vai,chew snuff or tobacco; hg imbiindaakwe; pn baandaakwed
1620,biindig,pc,inside
1621,biindigadoon,vti2,"bring s.t. inside, take s.t. inside; Isg imbiindigadoon; prt baandigadood"
1624,biindigeba'iwe,vai,run inside from people; hg imbiindigeba'iwe; prt baandigeba'iwed
1626,biindigebatwaadan,vti,run inside with s.t.; hg imbiindigebatwaadaan; pn baandigebatwaadang biindigebatwaazh /biindigebatwaaN-/ vta run inside with s.o.; J's^imbiindigebatwaanaa;prt baandigebatwaanaad
1629,biindigenaazhikaw,vta,chase s.o. inside; hg imbiindigenaazhikawaa; prt baandigenaazhikawaad
1635,biindigewebinige,vai,throw things inside; hg imbiindigewebinige; pn baandigewebiniged
1638,biindoode,vii,crawl in; pn baandooded
1639,biingeji,vai,"feel cold; hg imbiingeji; pn baangejid biingeyendam vai2 have something on one's mind, worry; hg imbiingeyendam; prt baangeyendang"
1645,biinish,pc,"until, up to"
1646,biinitaw,vta,clean (s.t.) for s.o.; hg imbiinitawaa; pn baanitawaad
1647,biinitoon,vti2,clean s.t.; hg imbiinitoon; pn baanitood
1649,biinizikaa,pc,"spontaneously, for no purpose at all"
1650,biinjayi'ii,pc,inside it
1653,biinjiboonaagan,na,fish trap; pi biinjiboonaaganag; loc biinjiboonaaganing; dim biinjiboonaagaans
1655,biinjidoon,pc,inside the mouth
1656,biinjijaanzh,pc,inside the nose
1659,biinjina,pc,inside the body
1661,biinjise,vii,"fly in, fall in; prt baanjiseg; aug biinjisemagad; pn aug baanjisemagak"
1662,biinjitawag,pc,inside an ear
1669,biipiinjigana'onag,na,"dew-claw game plural biisa"" /biisa'w-/ vta chop s.o. fine; hg imbiisa'waa; pn baasa'waad"
1670,biisa'an,vti,chop s.t. fine; hg imbiisa'aan; prt baasa'ang
1672,biisibidoon,vti2,"crumble s.t., pull s.t. into particles; hg imbiisibidoon; pn baasibidood biisibizh /biisibiN-/ vta crumble s.o., pull s.o. into particles; hg imbiisibinaa; pn baasibinaad"
1673,biisiboodoon,vti2,grind s.t. up; hg imbiisiboodoon; pn baasiboodood
1674,biisiboojigan,na,cornmeal; loc biisiboojiganing
1676,biisiga'ise,vai,make kindling; 7sjf imbiisiga'ise;£rf baasiga'ised biisitaagan in bubble; pi biisitaaganan; he biisitaaganing; dim biisitaagaans
1678,biitagoode,vai,put on one's dress; Isg imbiitagoode; prt baatagoodeg
1681,biite,m,foam
1683,biitewaaboo,ni,beer; loc biitewaaboong biitoo- pv4 as a layer
1685,biitoo-giboodiyegwaazon,na,underpants; pi biitoo-giboodiyegwaazonag; loc biitoo- giboodiyegwaazoning; dim biitoo- giboodiyegwaazonens
1686,biitookizinaan,m,overshoe; pi biitookizinaanan; he biitookizinaaning; dim biitookizinaanens; also biitookizin
1687,biitookizine,vai,wear overshoes; Isg imbiitookizine; prt baatookizined
1688,biitookonaye,vai,wear layers (as underwear); Isg imbiitookonaye; prt baatookonayed
1689,biitoon,vti2,wait for s.t.; Isg imbiitoon; prt baatood
1690,biitooshin,vai,lie in a layer; pn baatooshing
1694,biitoosin,vii,lie in a layer; pn baatoosing
1697,biiwaabiko-adaawewigamig,ni,hardware store; pi biiwaabiko-adaawewigamigoon; loc biiwaabiko-adaawewigamigong; also biiwaabikwadaawewigamig
1699,biiwaabikokaan,ni,mine; pi biiwaabikokaanan; loc biiwaabikokaaning; dim biiwaabikokaanens
1700,biiwaabikokewinini,na,miner; pi biiwaabikokewininiwag
1703,biiwega'igan,ni,chip; pi biiwega'iganan; loc biiwega'iganing; dim biiwega'igaans
1705,biiwise,vai,"scatter, disperse; pn baawised"
1706,biiwise,vii,"scatter, disperse; prt baawiseg; aug biiwisemagad; pn aug baawisemagak"
1707,biiwiwebin,vta,scatter s.o.; 7^imbiiwiwebinaa; pn baawiwebinaad
1712,biizikonaye',vta,dress s.o.; Isg imbiizikonaye'aa; pn baazikonaye'aad
1713,booch,pc,"it is necessary, it is certain"
1716,boodawewinini,na,"maintenance engineer, school custodian; pi boodawewininiwag; dim boodawewininiins boodaadan vtiblow on s.t.; Isg imboodaadaan; prt bwaadaadang"
1718,boodaajii'igan,ni,"tire pump, air pump; pi boodaajii'iganan; loc boodaajii'iganing; dim boodaajii'igaans"
1719,boodaajii'ige,vai,inflate things; Isg imboodaajii'ige; pn bwaadaajii'iged
1720,boodewaadamii,na,Potawatomi; pi boodewaadamiig; dim boodewaadamiins
1724,bookobidoon,vti2,"pull s.t. in two, break s.t. in two with hands; Isg imbookobidoon; prt bwaakobidood bookobizh /bookobiN-/ vta pull s.o. in two, break s.o. in two with hands; Isg imbookobinaa; prt bwaakobinaad"
1725,bookoganaam,vta,break s.o. in two by hitting; Isg imbookoganaamaa; pn bwaakoganaamaad bookoganaandan mi break s.t. in two by hitting; Isg imbookoganaandaan; pn bwaakoganaandang
1735,bookwaabik,ni,piece of metal; pi bookwaabikoon; loc bookwaabikong; dim bookwaabikoons
1736,bookwaawiganeshin,vai,fall and break one's back; Isg imbookwaawiganeshin; prt bwaakwaawiganeshing
1737,boonakadoon,vti2,anchor s.t.; Isg imboonakadoon; prt bwaanakadood
1738,boonakajigan,m,anchor; pi boonakajiganan; loc boonakajiganing; dim boonakajigaans boonam vai2 lay an egg; pn bwaanang
1744,boonitoon,vti2,"leave s.t. alone, quit s.t.; Isg imboonitoon; pn bwaanitood"
1746,booshke,pc,"it's up to you, it's your decision; also booshke giniin"
1749,bootaagaadan,vti,stamp s.t. in a mortar; Isg imbootaagaadaan; pn bwaataagaadang
1753,boozi',vta,give a ride to s.o.; Isg imboozi'aa; pn bwaazi'aad
1758,boozitoon,vti2,"load s.t. as cargo; Isg imboozitoon; prt bwaazitood bwaa- pvl not able to, not before"
1760,bwaanawi'o,vai,"be unable to do something, be stuck; Isg imbwaanawi'; pn bwayaanawi'od"
1761,bwaanawitoon,vti2,"be unable to do s.t., be unable to manage s.t.; hg imbwaanawitoon; prt bwayaanawitood"
1764,bwaanimotaw,vta,speak Dakota to s.o.; hg imbwaanimotawaa; prt bwayaanimotawaad
1765,bwaanzhii-nagamo,vai,sing war songs; hg imbwaanzhii-nagam; pn bwayaanzhii- nagamod
1767,bwaanzhii-niimi'idiwin,ni,war dance; pi bwaanzhii-niimi'idiwinan
1768,bwaanzhiiwi'o,vai,wear a dance outfit; hg imbwaanzhiiwi'; pn bwayaanzhiiwi'od
1769,bwaanzhiiwi'on,m,dance outfit; pi bwaanzhiiwi'onan; loc bwaanzhiiwi'oning; dim bwaanzhiiwi'onens
1771,dabasagoodoon,vti2,hang s.t. low; Isg indabasagoodoon; prt debasagoodood
1779,dabazhish,pc,low
1781,dabinoo'igan,ni,shelter; pi dabinoo'iganan; loc dabinoo'iganing; dim dabinoo'igaans dadaakw= < dakw=
1782,dadaakwanagweyaa,vii,have short sleeves; prt dedaakwanagweyaag; aug dadaakwanagweyaamagad; prt aug dedaakwanagweyaamagak
1785,dadaatabaanagidoon,vai,talk quickly; Isg indadaatabaanagidoon; prt dedaatabaanagidoong
1789,dadibaajimoowinini,na,storyteller; /)/ dadibaajimoowininiwag
1790,daga,pc,"please!, come on! dago- pv4 in a place with"
1795,dagonigaazo,vai,"be added in, be mixed in; prt degonigaazod"
1799,dagoshinoomagad,vii,arrive; prt degoshinoomagak dagoz /dagozw-/ vta cook s.o. with something else; Isg indagozwaa; pn degozwaad
1801,dagozo,vai,be cooked with something else; Isg indagoz; pn degozod
1802,dagwagim,vta,count s.o. in; Isg indagwagimaa; prt degwagimaad
1803,dagwagindan,vti,count s.t. in; Isg indagwagindaan; prt degwagindang
1804,dagwaginde,vii,"be included, be counted in; prt degwagindeg; aug dagwagindemagad; prt aug degwagindemagak"
1805,dagwaginzo,vai,"be included, be counted in; Isg indagwaginz; prt degwaginzod dagwaagin /dagwaagi-/ vii be fall, be autumn; pn degwaagig"
1806,dagwaagishi,vai,spend the fall somewhere; Isg indagwaagish; prt degwaagishid
1807,dagwaagong,pc,"last fall, last autumn"
1809,dakamanji'o,vai,"be chilled, feel cold; Isg indakamanji'; pn dekamanji'od"
1812,dakaagamisin,vii,cool off (as a liquid); prt dekaagamising
1814,dakaashi,vai,be cooled by the wind; prt dekaashid
1816,dakaayaa,vii,be cool (weather); prt dekaayaag; aug dakaayaamagad; prt aug dekaayaamagak; also daki-ayaa
1817,dakib,ni,cold water dakibiisaa mi be -cold rain; prt dekibiisaag; aug dakibiisaamagad; prt aug dekibiisaamagak
1818,dakininjii,vai,have a cold hand; Isg indakininjii; pn dekininjiid
1820,dakise,vii,cool; prt dekiseg; aug dakisemagad; prt aug dekisemagak
1823,dakisidoon,vti2,set s.t. to cool; Isg indakisidoon; prt dekisidood
1828,dakobidoo,vai,tie wild rice; Isg indakobidoo; pn dekobidood
1829,dakobidoon,vti2,"tie s.t., bind s.t.; Isg indakobidoon; prt dekobidood"
1836,dakokii,vai,step; Isg indakokii; pn dekokiid
1840,dakoniwewidaabaan,na,police car; pi dakoniwewidaabaanag; loc dakoniwewidaabaaning; dim dakoniwewidaabaanens
1844,dakwandan,vti,bite St.; Isg indakwandaan; pn dekwandang
1846,dakwanjigan,ni,pliers; pi dakwanjiganan; loc dakwanjiganing; dim dakwanjigaans
1847,dakwanjige,vai,bite things; Isg indakwanjige; pn dekwanjiged
1850,dakwaabikizi,vai,be short (as something mineral); prt dekwaabikizid
1852,dakwaabiigizhan,vti,cut s.t. short (as something string-like); Isg indakwaabiigizhaan; pn dekwaabiigizhang
1869,dangishkaage,vai,kick people; Isg indangishkaage; pn dengishkaaged
1876,daniwin,ni,"wealth, riches, property, belongings; pi daniwinan; loc daniwining; dim daniwinens"
1881,dash,pc,"and; also idash, -sh dashiwag /dashi-/ vai they are a certain number, they are so many; Ipl indashimin; prt endashijig"
1882,dasing,pc,"a certain number of times, so many times dasinoon /dasin-/ vii they are a certain number, they are so many; prt endasingin daso- pv3 a certain number, so many, every"
1883,daso-anama'e-giizhik,pc,"a certain number of weeks, so many weeks"
1884,daso-anama'e-giizhikwagad,vii,"be a certain number of weeks, be so many weeks; prt endaso-anama'e-giizhikwagad; also daswanama'e-giizhikwagad"
1885,daso-biboon,pc,"a certain number of years, so many years"
1887,daso-diba'igan,pc,"a certain number of hours, so many hours, a certain number of miles, so many miles"
1888,daso-diba'iganed,vii,"be a certain hour, be a certain time in hours; prt endaso-diba'iganek daso-diba'igaans /)i a certain number of minutes, a certain number of acres, so many minutes, so many acres"
1889,daso-diba'iminaan,pc,"a certain number of bushels, so many bushels"
1890,daso-dibaabiishkoojigan,pc,"a certain number of pounds, so many pounds daso-dibikpc a certain number of nights, so many nights"
1891,daso-gikinoonowin,pc,"a certain number of years, so many years daso-giizhigad viibe a certain date;prtendaso- giizhigak daso-giizhik />< a certain number of days, so many days"
1892,daso-giizis,pc,"a certain number of months, so many months"
1893,dasogon,pc,"a certain number of days, so many days"
1896,dasogonendi,vai,"be gone a certain number of days, be absent a certain number of days; Isg indasogonend; pn endasogonendid"
1897,dasonaagaans,pc,"a certain number of cupfuls, so many cupfuls"
1898,dasoninj,pc,"a certain number of inches, so many inches dasosagoons nm a certain number of thousands, so many thousand"
1899,dasozid,pc,"a certain number of feet, so many feet"
1901,dasooshkin,pc,"certain number of bags, so many bags dasoozh /dasooN-/ vta trap s.o.; Isg indasoonaa; prt desoonaad"
1903,daswaabik,pc,"a certain number of dollars, so many dollars"
1904,daswewaan,pc,"a certain number of sets, so many sets, a certain number of pairs, so many pairs daswi nm a certain number, so many datak= < dak= datakw= < dakw= datang= < dang= datap= < dap="
1905,dawaa,vii,"be space, be room; prt dewaamagak; aug dawaamagad; prt aug dewaamagak"
1906,dawibidoon,vti2,pull s.t. apart to form a gap; Isg indawibidoon; pn dewibidood
1907,dawibijige,vai,"pull things apart to form a gap; Isg indawibijige; pn dewibijiged dawibizh /dawibiN-/ vta pull s.o. apart to form a gap; /s£indawibinaa;p«dewibinaad dazhi- pv3 in a certain place, of a certain place, there"
1910,dazhinge,vai,"talk about people, gossip; hg indazhinge; pn endazhinged"
1912,dazhishin,vai,"lie in a certain place, be buried in a certain place; hg indazhishin; pn endazhishing"
1913,dazhisin,vii,lie in a certain place; prt endazhising
1922,daangigwanenan,vti,sign s.t.; Isg indaangigwanenaan; prt dayaangigwanenang
1928,daangisidoon,vti2,put s.t. touching; Isg indaangisidoon; prt dayaangisidood
1930,daashkaa,vii,"be split, be torn apart; prt dayaashkaag; aug daashkaamagad; prt aug dayaashkaamagak"
1931,daashkibidoon,vti2,"split s.t. lengthwise with hands, tear s.t. apart; Isg indaashkibidoon; prt dayaashkibidood daashkibizh /daashkibiN-/ vta split s.o. lengthwise with hands, tear s,.o. apart; Isg indaashkibinaa; prt dayaashkibinaad"
1932,daashkiboodoon,vti2,saw s.t. apart lengthwise; Isg indaashkiboodoon; pn dayaashkiboodood
1935,daashkiga'an,vti,splil s.t. by chopping (as some- thing of wood); Isg indaashkiga'aan; prt dayaashkiga'ang
1936,daashkiga'ige,vai,split wood; Isg indaashkiga'ige; prt dayaashkiga'iged
1937,daashkiga'ise,vai,split firewood; Isg indaashkiga'ise; prt dayaashkiga'ised
1944,deba'ookii,vai,have enough to give away; Isg indeba'ookii; prt dayeba'ookiid deba'oozh /deba'ooN-/ vta have enough to give to or feed s.o.; Isg indeba'oonaa; pn dayeba'oonaad
1945,debakii'ige,vai,determine the depth; Isg indebakii'ige; pn dayebakii'iged
1954,debi',vta,"satisfy s.o., benefit s.o., give s.o. some- thing appropriate; Isg indebi'aa; prt dayebi'aad debinaakpc badly, carelessly, any old way"
1955,debisachige,vai,have enough of things; Isg indebisachige; pn dayebisachiged
1956,debisa',vta,have enough of s.o.; Isg indebisa'aa; pn dayebisa'aad
1957,debisatoon,vti2,have enough of s.t.; Isg indebisatoon; pn dayebisatood
1963,debizi,vai,"be satisfied, be lucky, have enough; Isg indebiz; prt dayebizid"
1968,debwetaagwad,vii,"be believable, be believed; pn dayebwetaagwak debwewidam vai2 be heard speaking at a distance; Isg indebwewidam; pn dayebwewidang debweyendam vai2 believe; Isg indebweyendam; prt dayebweyendang"
1971,de-miijin,vti3,eat enough of s.t.; Isg inde-miijin; prt daye-miijid
1973,desa'on,ni,"platform, bench, bed (in wigwam); pi desa'onan; loc desa'oning; dim desa'onens"
1977,desinaagaans,ni,saucer; pi desinaagaansan; loc desinaagaansing
1978,deteba'agonjichigan,ni,"bobber, float; pi- deteba'agonjichiganan; loc deteba'agonjichiganing; dim deteba'agonjichigaans"
1981,dewe'igan,na,drum; pi dewe'iganag; loc dewe'iganing; dim dewe'igaans dewe*iganaak na drumstick; pi dewe'iganaakoon; loc dewe'iganaakong; dim dewe'iganaakoons; also dewe'iganaatig
1984,dewikwe-mashkikiins,ni,aspirin; pi dewikwe- mashkikiinsan; loc dewikwe-mashkikiinsing
1985,dewikwese,vai,get a sudden headache; Isg indewikwese; prt dayewikwesed
1990,di-,vai,"be in a certain condition, have a certain thing the matter with one used primarily in the conjunct, pn endid diba' /diba'w-/ vta pay for s.o., bail s.o. out; Isg indiba'waa; pn deba'waad"
1991,diba'akii,vai,survey land; Isg indiba'akii; pn deba'akiid
1992,diba'akiiwinini,na,surveyor; pi diba'akiiwininiwag
1993,diba'amaw,vta,"pay s.o. for (s.t.), pay (s.t.) to s.o.; Isg indiba'amawaa; pn deba'amawaad diba'amaadiwag /diba'amaadi-/ vai they pay each other for (s.t.); Ipl indiba'amaadimin; pn deba'amaadijig"
1994,diba'amaage,vai,pay people for (s.t.); Isg indiba'amaage; prt deba'amaaged
1995,diba'an,vti,pay for s.t.; Isg indiba'aan; pn deba'ang
1996,diba'aatigwaan,ni,"yardstick, measuring stick for timber; pi diba'aatigwaanan"
1997,diba'aatigwe,vai,scale timber; Isg indiba'aatigwe; pn deba'aatigwed
1998,diba'ige,vai,"pay things, measure things; Isg indiba'ige; prt deba'iged"
1999,diba'igese,vii,"pay off, pay for itself; pn deba'igeseg; aug diba'igesemagad; prt aug deba'igesemagak"
2000,diba'igiiziswaan,na,clock; pi diba'igiiziswaanag; loc diba'igiiziswaaning; dim diba'igiiziswaanens
2001,diba'igiiziswaanens,na,"watch; pi diba'igiiziswaanensag; loc diba'igiiziswaanensing dewe'igan (drum), dewe'iganaak (drumstick)"
2006,dibaabiishkoodoom,vti2,weigh s.t.; hg indibaabiishkoodoon; pn debaabiishkoodood
2007,dibaabiishkoojigan,ni,scale; pi dibaabiishkoojiganan; he dibaabiishkoojiganing; dim dibaabiishkoojigaans
2015,dibaakonigaade,vai,be a court matter; hg indibaakonigaa.de; prt debaakonigaaded
2016,dibaakonigaazo,vai,"be judged, be sentenced; prt debaakonigaazod"
2020,dibendan,vti,"control s.t., be the master of s.t., own s.t., earn s.t.; hg indibendaan; prt debendang"
2023,dibendaaso,vai,own for oneself; hg indibendaas; prt debendaasod
2024,dibenim,vta,"control s.o., own s.o., be the master of s.o.; hg indiberiimaa; prt debenimaad"
2025,dibenindizo,vai,"be independent, be one's own master; hg indibenindiz; prt debenindizod"
2026,dibenjigaade,vii,be owned; prt debenjigaadeg; aug dibenjigaademagad; prt aug debenjigaademagak
2027,dibenjigaazo,vai,"be owned, be an initiated member; prt debenjigaazod"
2028,dibi,pc,"I don't know where, I wonder where dubitative dibi go pc wherever, anywhere dubitative"
2029,dibi',vta,keep up even with s.o.; hg indibi'aa; prt debi'aad
2032,dibikaabaminaagwad,vii,be twilight; prt debikaabaminaagwak
2033,dibik-giizis,na,moon; pi dibik-giizisoog; also dibiki-giizis
2034,dibiki-ayaa,vai,be dark; pn debiki-ayaad dibikong />i last night
2035,dibinawe,pc,"by oneself, inherently"
2037,dibishkoo,pc,"just like, even, equal, direct dibishkookamigpc right across, opposite"
2038,didibibide,vii,roll; prt dedibibideg; aug didibibidemagad; pn aug dedibibidemagak
2039,didibinan,vti,roll s.t.; hg indidibinaan; prt dedibinang
2040,didibininjiibizon,na,ring; pi didibininjiibizonag; loc didibininjiibizoning; dim didibininjiibizonens
2041,didibise-apabiwin,ni,rocking chair; pi didibise- apabiwinan; loc didibise-apabiwining; dim didibise-apabiwinens
2042,digow,na,wave; pi digowag; also digo
2044,dikineyaab,ni,cradle board wrapper; pi dikineyaabiin; loc dikineyaabiing; dim dikineyaabiins
2048,ditibise,vai,"roll, go around (e.g., a wheel); pn detibised"
2051,ditibiwebishkige,vai,"pedal, roll things along by kicking; hg inditibiwebishkige; pn detibiwebishkiged"
2053,diitiba'an,vti,knock s.t. down effusing something; hg indiitiba'aan; prt daatiba'ang diitiba' /diitiba'w-/ via knock s.o. down off using something; hg indiitiba'waa; pn daatiba'waad
2054,diitibibidoon,vti2,knock s.t. down off something with hands; Isg indiitibibidoon; pn daatibibidood diitibibizh /diitibibiN-/ vta knock s.o. down off something with hands; hg indiitibibinaa; pn daatibibinaad
2055,diitibishkan,vti,"bump s.t. down off, knock s.t. down off something with foot or body; hg indiitibishkaan; pn daatibishkang"
2056,diitibishkaw,vta,"bump s.o. down off, knock s.o. down off something with foot or body; Isg indiitibishkawaa; pn daatibishkawaad doodam vai2 do something; Isg indoodam; pn endoodang"
2063,doonoo,na,bull; pi doonoog
2065,dootooban,vti,be springy ground; pn dwaatoobang
2066,dwaa'ibaan,ni,hole made in the ice for water; pi dwaa'ibaanan; loc dwaa'ibaaning; also dwaa'igan
2067,dwaa'ibii,vai,make a water hole in the ice; Isg indwaa'ibii; prt dwayaa'ibiid; also dwaa'ige
2068,dwaa'ige,vai,make a hole in the ice; Isg indwaa'ige; prt dwayaa'iged
2070,edawayi'ii,pc,on both sides of it
2071,edawi-zaka'o,vai,use crutches; Isg indedawi- zaka'; pn ayedawi-zaka'od
2073,eko-nising,pc,the third
2074,eko-niizhing,pc,the second
2078,endaso-dibik,pc,every night
2081,endogwen,pc,"I don't know, I am not sure"
2082,en',pc,"yes eni- pv2 going away from the speaker, coming up to in time changed form of ani-"
2083,enigok,pc,"with effort, harder"
2085,eniwek,pc,"somewhat, a little bit, just so, middling en/an' pc yes; also en', eya'"
2087,eshkam,pc,"gradually, more and more, less and less"
2090,eshkwaa,pc,while
2092,eta,pc,only
2093,eya',pc,yes eyishwaaswi nm eight each; also nenishwaaswi*
2094,eyiidawayi'h,pc,on both sides of it
2095,eyiidawininj,pc,at both hands
2096,eyiizh,pc,"both ezhi- pv3 in a certain way, to a certain place, thus, so, there changed form o/izhi-"
2097,ezhininjiishin,vai,leave a handprint; Isg indezhininjiishin; pn ayezhininjiishing
2099,ezhisin,vii,leave a mark; pn ezhising
2102,gabaa',vta,"get s.o. off a vehicle or boat, disembark s.o.; Isg ingabaa'aa; prt gebaa'aad gabaanaazha' /gabaanaazha'w-/ vta tell s.o. to get off, tell s.o. to disembark; hg ingabaanaazha'waa; pn gebaanaazha'waad"
2104,gabaatoon,vti2,"cook s.t. by boiling; Isg ingabaatoon; pn gebaatood gabe- pv4 whole extent of, throughout"
2105,gabe-ayi'ii,pc,"throughout it, a long time; also gabeyi'ii gabe-dibik pi all night"
2106,gabe-dibikwe,vai,spend the whole night; Isg ingabe-dibikwe; pn gebe-dibikwed
2108,gabe-giizhik,pc,all day gabekanapc at the end of the road or trail
2111,gabe-onaagosh,pc,all evening
2115,gabeshkaa,vai,go to the end; Isg ingabeshkaa; pn gebeshkaad
2118,gagaanonagweyaa,vii,have long sleeves; pn gegaanonagweyaag; aug gagaanonagweyaamagad; pn aug gegaanonagweyaamagak gagaanw= < ginw=
2120,gagaanzitaw,vta,act contrary to s.o.'s instructions; Isg ingagaanzitawaa; pn gegaanzitawaad
2122,gagiibanagaskwe,vai,stutter; Isg ingagiibanagaskwe; pn gegiibanagaskwed
2124,gagiibaadaatese,vii,"be a comedy, be a funny movie; pn gegiibaadaateseg; aug gagiibaadaatesemagad; prt aug gegiibaadaatesemagak"
2127,gagiibijaane,vai,have a stuffed-up nose; hg ingagiibijaane; pn gegiibijaaned
2131,gagiigin,vta,"select from s.o., pick from s.o.; Isg ingagiinaa; pn gegiiginaad"
2134,gagiikimaawasowin,ni,education by preaching and exhortation gagiikwe wri preach; Isg ingagiikwe; pr/ gegiikwed
