powhatan_word,english_translation,word_class,source,license,orthography,notes,audio_url
Apome,the thigh,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
Apooke,tobacco,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
Apokan,a tobacco pipe,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
Ananson,a mat,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
Assentamens,pears,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
Anath,farewell,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
Assimnims,walnuts,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
Assimoest,a fox,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
Amahoth,a targett (shield),n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
Ampkone,a frying pan,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
Akontant,a plaster,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
Ammomu,to sow,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
Aayxkehake,a spade,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
Atapahaii,an axe (OCR: 'kixe'),n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
Asapan,a hasty pudding,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
Apquammon,a shoe,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
Amosens,a daughter,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
Auppes,a bow string,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
Anaskomens,acorns,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
Asasqueth,the clay they make pipes of,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
Amonsoquath,a bear,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
Attomois,a dog,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
Arrokoth,the side,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
Apones,bread,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
Arathkone,a beast like a fox,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
Aquintayne manggoy,a great ship,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
Aquintayne taux,a little boat or canoe,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
oskeitch / vsqueyh / vspeuwk,above,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
vscound,abroad,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
anaskimmins,acorn,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
keihtascooc / sassacomuwah,adder,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
aunshecapa,afternoon,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
chowhuasuw,ague (fever),n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
nindgapamutla mecreentecoh,an aching of the head,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
vneghiawmdupmeputs,an aching of the teeth,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
cheisk,all,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
pocohaac,an awl or pin/needle,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
tashoa / metatvwh neckatam,all is out,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
kekewh,alive,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
perervimuw,angry,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
aamowk,angle (fishhook),n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
Wingapoh,Hello,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
Nehtab,Hello friend,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
Chamah,Welcome,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
Kencuttemaum,Good morning,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
Wingan nupawe,Sleep well,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
Yokweme wat,Let us go away,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
Anah,Farewell,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
Kupe,Yes,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
Matah,No,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
Kehnah,Thank you,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
Keire Patawomeck?,Are you Patawomeck?,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
Neire Patawomeck,I am Patawomeck,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
Neire Tassantassas,I am English,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
Kowamanes,I love you,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
Nenamun …,I see …,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
Kenamun …,You see …,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
Nenamun uttapaantam,I see a deer,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
Nenamun tshehip,I see a bird,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
Nenamun moussomko,I see a squirrel,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
Nenamun namaske,I see a fish,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
Nenamun attaankwasuwk,I see the stars,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
Nenamun umpskwoth,I see the moon,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
Nenamun kecuttannowas,I see lightning,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
Nowuntamen …,I hear …,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
Kewuntamen …,You hear …,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
Nowuntamen tshehip,I hear a bird,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
Nowuntamen nepetackweth,I hear thunder,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
Neire howghwe takon,I am hungry,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
Keire howghwe takon?,Are you hungry?,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
Nummehcher …,I eat …,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
Kummehcher …,You eat …,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
